id,dong,store,tell,adr
1,갈말읍,갈말농협하나로마트,334526222,갈말읍삼부연로17-6
2,갈말읍,김밥나라,334526008,갈말읍삼부연로1(신철원사거리)
3,갈말읍,또래오래,334529292,강원도철원군갈말읍지포리105-4아울렛BC마트옆
4,갈말읍,멕시카나치킨,334529559,철원군갈말읍명성로158-23(철원막국수밑)
5,갈말읍,청원,334520035,철원군갈말읍삼부연로17-12(농협하나로마트언덕길50M부근)
6,갈말읍,토토가스전문점,334521014,강원도철원군갈말읍명성로149번길8-1(금강산사우나입구근처)
7,갈말읍,피자에땅신철원점,334529289,갈말읍명성로149번길2(신철원사거리)
8,강남동,33꼬마김밥떡볶이온의점,332579933,강원춘천시스포츠타운길5331층101호(온의동)
9,강남동,가리미김밥온의점,332527631,강원도춘천시영서로2279번길13(강남병원뒷골목)
10,강남동,국수나무롯데캐슬점,332566600,"강원춘천시방송길70,117동101호(온의동,온의롯데캐슬스카이클래스좌측)"
11,강남동,백리향,332520128,강원도춘천시터미널길14번길18-1고속터미널앞
12,강남동,백리향,332520128,강원도춘천시터미널길14번길18-1춘천터미널근처
13,강남동,본죽,332526288,강원도춘천시온의동148-4화산사우나옆
14,강남동,빠띠시에,332577109,"강원도춘천시칠전서길28-1,1층칠전상가4호,5호칠전동신남초등학교김밥나라옆"
15,강남동,오케이치킨온의점,332565757,"춘천시방송길70(온의동,롯데캐슬스카이클래스)롯데캐슬상가117동117호"
16,강남동,충무김밥나라,332567752,강원춘천시터미널길16(온의동)(이마트옆길)
17,강남동,치요남치킨(칠전점),332619928,"강원춘천시칠전서길34,1층(칠전동)신남초등학교정문앞"
18,강남동,파리바게트춘천온의점,332448200,강원도춘천시영서로2319
19,강남동,황소머리국밥,332643337,춘천로17번길31212호(강남동주민센터옆)
20,강동면,강릉농협하나로마트강동지점,336457453,강원강릉시강동면와천로463
21,강동면,강릉농협하나로마트정동지점,336445075,강원강릉시헌화로1060
22,강릉시,"CU(구,훼미리마트)(강릉시)",15773663,전국
23,강릉시,지에스리테일(GS25)(강릉시),220062174,서울시강남구논현로508GS타워18층
24,개운동,김밥나라,337641588,강원원주시개운동394-13(개운동사무소건너편)
25,개운동,놀부만두김밥,337641242,강원도원주시개운로6(개운동)(원주고등학교뒤쪽휴먼시아아파트옆)
26,개운동,미리내한식,337662790,강원도원주시개운로53(원고사거리근처)
27,개운동,세화마트,337632420,강원도원주시개운로78(상수여고부근)*3만원이상배달가능
28,개운동,수정루,337628653,강원도원주시개운로94(개운동)상지여고옆
29,개운동,아삭아삭유통반곡,337467877,강원도원주시반곡길17(개운동)(블루밍아파트건너편)
30,개운동,파리바게트(개운점),337637556,강원원주시개운동휴먼시아APT(원주고정문오른쪽)
31,교동,"CU(구,훼미리마트)속초교동점",336388009,강원도속초시교동933-9
32,교동,"CU(구,훼미리마트)속초대우점",336311068,강원도속초시교동８０４－１２４
33,교동,"CU(구,훼미리마트)속초만천사거리점",336381293,강원도속초시교동748-5
34,교동,"CU(구,훼미리마트)속초먹골점",336381400,강원도속초시교동９６８－８
35,교동,"CU(구,훼미리마트)속초삼환점",336358980,강원도속초시교동９２６
36,교동,"CU(구,훼미리마트)속초스파랜드점",336360091,강원도속초시교동781-60씨티스포렉스1층109-1호
37,교동,"CU(구,훼미리마트)속초청학사랑점",336356967,강원도속초시청학동642-65
38,교동,"CU(구,훼미리마트)속초청학점",336337791,강원도속초시청학４８２－３９０
39,교동,"CU(구,훼미리마트)속초현대점",336381990,강원도속초시교동620-28현대프라자1층131호
40,교동,꼬시네돈까스교동점,6368775,강원속초시교동번영로43번길22(주공2차@밑k마트상가내)
41,교동,나무그늘,6364994,강원속초시교동번영로21(속초초후문건너편)
42,교동,뉴욕제과,6328440,강원도속초시교동656-3번지(교동삼거리)
43,교동,달인의꿈,336358586,속초시먹거리1길24(석미모닝파크상가)
44,교동,대청봉삼원각,336315506,강원도속초시교동800-62(로얄2차입구근처킹마트맞은편)
45,교동,돈까스아저씨본점,336338856,속초시먹거리7길18(동원해장국근처)
46,교동,동성관,336385420,강원도속초시수복로13(교동)석미아파트건너편
47,교동,또래오래치킨(효자중앙점),332539992,강원춘천시전원안길11-1(교동)(교동초근처)
48,교동,뚜레쥬르(속초교동점),336362929,강원도속초시미시령로3387(교동)설악중맞은편농협옆
49,교동,뚜레쥬르(한림대점),332420908,강원도춘천시삭주로76(교동)(한림대정문앞)
50,교동,뚜레쥬르노학점,336379044,강원속초시교동704-126(대우아파트맞은편)
51,교동,뚜레쥬르속초로데오점,336373737,강원도속초시중앙로71(청학사거리)
52,교동,마마트속초교동점,336336455,강원도속초시중앙로57(교동)다비치안경점건물1층
53,교동,말썽꾸러기꼬마김밥,336339064,속초시동해대로4276(새생명한의원옆)
54,교동,맘스터치,6358959,강원속초시교동번영로39(금강아파트건너편상가1층)
55,교동,미스터파파임실치즈피자(한림점),2529282,강원도춘천시삭주로80번길17
56,교동,미화네떡볶이1,1047454145,강원춘천시교동15-3(한림대학교정문앞)
57,교동,본죽한림대점,332446282,춘천시교동157-15한림성심병원근처
58,교동,봉구스밥버거,6357477,강원속초시교동동명동566-18(금강아파트맞은편세븐일레븐옆)
59,교동,봉구스밥버거속초여고점,336320903,"강원속초시동해대로4303,1층(교동)속초여고후문버스정류장앞"
60,교동,봉구스밥버거(한림대점),332642050,강원도춘천시삭주로70(한림대정문근처)
61,교동,봉브레드,336334826,강원속초시동해대로4344-1
62,교동,분식파티,6371490,강원속초시교동664-217(장외과건너편)
63,교동,생생돈가스,336386969,강원도속초시교동781이우프라자105호<동부아파트앞건물>근접거리배달가능
64,교동,석봉토스트,336354579,강원속초시교동635-44
65,교동,속초해물뚝배기짬뽕,336370121,강원도속초시먹거리6길17-1먹거리내고기랑산채랑맞은편
66,교동,신촌옥,6311515,강원속초시청대로341
67,교동,아이러브피자교동점,336382599,강원도속초시미시령로3359번길20(교동)스파랜드상가
68,교동,오봉도시락강원속초점,336365001,강원속초시교동중앙로17(삼성병원근처농협뒤)
69,교동,올리브떡볶이,336380741,강원속초시교동동부아파트맞은편상가내1층
70,교동,요런닭꼬치,336331469,"배움터길4,1층(속초여자고등학교입구)"
71,교동,이경규돈치킨한림대점,332539235,강원도춘천시성심로9교동156-4한림대병원앞
72,교동,이삭토스트(교동한림대점),332446498,강원춘천시삭주로70
73,교동,이서방치킨,336369292,"강원속초시교동번영로43번길36(교동,설악남중학교옆)"
74,교동,이수고로케,336310103,강원도속초시동해대로4258(교동)
75,교동,참스김밥,336351136,강원속초시동해대로4307-1뉴명성독서실1층
76,교동,춘천명인만두한림점,332510091,강원도춘천시삭주로62-1
77,교동,치킨이땡기는날,2555675,강원춘천시교동156-2(한림대성심병원정문앞부근)
78,교동,토마토도시락(한림대점),332427407,강원춘천시삭주로69(한림대정문한림대병원사이)
79,교동,파리바게뜨,336363215,강원속초시교동841-1(대우아파트후문건너편)
80,교동,파리바게뜨동부점,336330459,강원속초시교동781-1(속초중학교맞은편)
81,교동,파리바게트속초현대점,6319626,강원속초시교동620-28(현대프라자1층131호)
82,교동,파챠이,336368872,강원도속초시먹거리9길26속초세무서정문근처
83,교동,피자스쿨춘천한림대점,333558008,강원도춘천시삭주로71한림대학교정문한림대학교병원사이
84,교동,한림성,332560054,"강원도춘천시교동길58한림대원룸근처*5,000원이상배달가능"
85,교동,한솥도시락(한림대앞점),332424333,강원도춘천시삭주로68
86,교동,한스델리속초점,336375212,강원속초시청학동482-243(청학사거리근처로데오아치)
87,구정면,강릉농협하나로마트구정지점,336447588,강원강릉시구정면범일로347
88,귀래면,남원주농협귀래지점,337624039,강원원주시귀래면운남리952-5(귀래면사무소앞)
89,근화동,갤러리닭강정,332527000,강원춘천시당간지주길741층(근화동)
90,근화동,파리바게뜨춘천신성점,332616358,강원도춘천시공지로439번길24(미소지움아파트앞)
91,근화동,호식이두마리치킨,332429978,공지로432-1(춘천중학교정문앞)
92,근화동,희래등근화점,332422336,"강원춘천시공지로450(춘천중근처,신성미소지음아파트근처)"
93,금호동,김밥나라중앙2호점,6373797,"강원속초시중앙동중앙시장로117(국민은행건너편,관광수산시장입구)"
94,금호동,김밥천국,336371122,강원속초시중앙동중앙로114-1(로데오거리미스터피자맞은편)
95,금호동,꼬시네돈까스,6354994,강원속초시조양동498-14(새싹유치원옆)
96,금호동,마마스김밥,336382211,강원도속초시중앙로135-1(신한은행옆)
97,금호동,맘스터치속초점,336376008,강원도속초시중앙로107-1(나이키매장건너편)
98,금호동,빵이야기,6350633,강원도속초시중앙시장로87
99,금호동,원조도문집칼국수,336335150,강원도속초시수복로199(금호동)중앙시장대형주차장옆
100,금호동,틈새라면,336368849,"강원속초시금호동중앙로122-3(금호동,천일안경골목)"
101,금호동,파리바게뜨속초중앙점,336372369,강원속초시금호동479-46(롯데리아건너편)
102,금호동,행복이가득한빵집,6311408,강원속초시중앙동474-19(중앙시장어물전골목초입입구)
103,김화읍,도창반점,334586300,강원도철원군김화읍도창리397-7도창리정자각근처
104,김화읍,바람난파닭,334585072,강원도철원군김화읍김화로635김화로우체국근처
105,김화읍,부흥할인마트,334582654,철원군김화읍학사리255-18(김화우체국앞)
106,김화읍,쉬리고기마당,334584194,강원도철원군김화읍학사리253김화우체국옆
107,김화읍,영풍마트,334582597,강원도철원군김화읍김화로614
108,남면,한반도농협남면지점,333724034,남면연당로127(세계민속악기박물관옆)
109,내곡동,강릉축산농협하나로마트내곡점,336101752,강원강릉시범일로604
110,내곡동,곰돌이왕만두,336462125,"강원강릉시범일로65710,000원이상배달가능"
111,내곡동,맘스터치강릉내곡점,336452200,강원강릉시내곡동남부로17번길231층
112,내곡동,맛있는밥집,336532006,강원강릉시관대길16번길4주공상가102호
113,내곡동,민이반찬푸드,336476377,강원강릉시남부로17번길251층
114,내곡동,뽕뜨락피자강릉내곡점,336450309,강원강릉시남부로17번길23103호(내곡동)
115,내곡동,얌샘김밥내곡점,336458277,"강원강릉시범일로63015,000원이상배달가능"
116,내곡동,형분식한식,336445792,강원강릉시관솔길97-31층
117,노학동,"CU(구,훼미리마트)속초노학점",336372278,강원도속초시노학동３３４
118,노학동,빵내음솔솔,336357119,강원도속초시노학동삼환@상가내106호
119,단계동,김밥나라단계평원점,337478088,강원도원주시곰볼3길28벽산아파트뒷편평원초교후문
120,단계동,김밥천국(단계평원점),337469066,강원원주시금불3길32(단계동)성원초후문근처
121,단계동,대성왕만두김밥,337440790,강원원주시단계동평원초교길25(평원초근처)
